Property_ID,Property_Type,Address,Units,Occupancy_Rate,Manager_Name,Investor_ID,Investment_Value,Investment_Date,Debt_Oversight,Tenant_ID,Lease_Start,Lease_End,Rent_Monthly,Payment_Status,Maintenance_Ticket_ID,Maintenance_Issue,Maintenance_Status,Procurement_ID,Item_Description,Purchase_Date,Purchase_Amount,Payment_Method,Energy_Solution_Enabled,Monthly_Energy_Cost,Sustainability_Score,AI_Feature_Use,Last_AI_Analysis,Portfolio_Notes,Compliance_Flag
1001,Commercial,"1 Main St, NY",9,72%,Alicia Ray,5010,7599918,2023-11-09,Yes,20001,2023-11-24,2025-03-19,3396,Overdue,301,Plumbing issue,In Progress,401,Elevator Motor,2024-07-02,897,Bank Transfer,Yes,1306,7,None,NA,Great location,Y
1002,Commercial,"2 Main St, NY",11,79%,Mike Tan,5004,3481008,2024-10-18,No,20002,2023-10-03,2025-12-14,2424,Paid,302,None,Closed,402,Water Heater,2024-11-17,655,Bank Transfer,Yes,1984,10,Virtuoso,2025-03-16,Good sustainability,Y
1003,Specialized,"3 Main St, NY",59,97%,John Smith,5005,7789995,2025-03-11,Yes,20003,2023-11-24,2025-06-01,5630,Paid,303,AC not working,Closed,403,Window Glass,2024-04-27,613,Card,Yes,1742,8,Virtuoso,2025-04-27,High returns,N
1004,Specialized,"4 Main St, NY",9,84%,Chris Patel,5004,6687449,2025-03-19,Yes,20004,2023-12-23,2025-10-08,1611,Pending,304,Broken window,In Progress,404,Water Heater,2024-07-10,1300,Card,No,2370,7,Virtuoso,2025-09-28,Stable occupancy,Y
1005,Commercial,"5 Main St, NY",52,92%,John Smith,5007,5794496,2021-03-16,Yes,20005,2024-04-26,2025-04-30,2657,Overdue,305,Broken window,Closed,405,LED Bulbs,2024-11-26,1133,Bank Transfer,No,1852,10,None,NA,Great location,N
1006,Multifamily,"6 Main St, NY",55,75%,Jane Doe,5007,7440475,2024-01-23,No,20006,2023-12-12,2025-03-16,3486,Pending,306,Broken window,In Progress,406,LED Bulbs,2024-08-12,1119,Card,Yes,1276,9,None,NA,Stable occupancy,Y
1007,Multifamily,"7 Main St, NY",52,82%,Mike Tan,5006,4708211,2025-04-26,Yes,20007,2024-05-17,2025-05-10,2576,Paid,307,Roof leak,Closed,407,Window Glass,2024-05-22,764,Card,No,1351,10,None,NA,Maintenance intensive,N
1008,Multifamily,"8 Main St, NY",57,82%,Jane Doe,5004,4605496,2021-07-12,No,20008,2024-08-24,2025-02-13,5309,Pending,308,Plumbing issue,Open,408,Water Heater,2024-02-20,381,Card,Yes,2048,8,None,NA,High returns,Y
1009,Multifamily,"9 Main St, NY",59,79%,John Smith,5004,4150020,2021-03-23,Yes,20009,2024-07-20,2025-07-18,3876,Overdue,309,Heating issue,Open,409,None,2024-12-25,1148,Card,No,1484,9,Virtuoso,2025-04-29,Needs marketing,N
1010,Multifamily,"10 Main St, NY",29,94%,Jane Doe,5009,5526588,2021-07-26,No,20010,2024-11-23,2025-10-01,3459,Paid,310,Roof leak,In Progress,410,Elevator Motor,2024-01-02,1086,Card,Yes,2820,6,None,NA,Upgrade required,Y
